-----101388914 Nella Marlow-----
1. CS302	Introduction_to_Programming
2. CS536	Introduction_to_Programming_Languages_and_Compilers
3. CS726	Nonlinear_Optimization_I
4. CS841	Computational_Cognitive_Science

-----101324074 Isabella Schrick-----
1. CS701	Programming_Languages_and_Compilers
2. CS717	Numerical_Functional_Analysis
3. CS755	VLSI_Systems_Design
4. CS784	Data_Models_and_Languages

-----100026593 Candance Minier-----
1. CS301	Introduction_to_Data_Programming
2. CS723	Dynamic_Programming_and_Associated_Topics
3. CS769	Advanced_Natural_Language_Processing

-----101420297 Sonny Beamon-----

-----101600702 Harry Wall-----
1. CS250	Digital_Society:_The_Impact_of_Computers_and_Computer_Technology
2. CS425	Introduction_to_Combinatorial_Optimization
3. CS533	Image_Processing
4. CS682	Senior_Honors_Thesis_(682)
5. CS727	Convex_Analysis

-----101389984 Orville Gay-----
1. CS547	Computer_Systems_Modeling_Fundamentals
2. CS691	Senior_Thesis_(691)
3. CS692	Senior_Thesis_(692)
4. CS720	Integer_Programming

-----100305535 Ressie Mcquillan-----
1. CS250	Digital_Society:_The_Impact_of_Computers_and_Computer_Technology
2. CS752	Advanced_Computer_Architecture_I
3. CS758	Advanced_Topics_in_Computer_Architecture
4. CS779	Rendering_Images_with_Computers
5. CS830	Randomness_in_Computation

-----101993173 Inge Tolleson-----
1. CS525	Linear_Programming_Methods
2. CS526	Advanced_Linear_Programming
3. CS533	Image_Processing
4. CS692	Senior_Thesis_(692)
5. CS720	Integer_Programming
6. CS733	Computational_Methods_for_Large_Sparse_Systems

-----101290722 Yasmin Tinnin-----
1. CS475	Introduction_to_Combinatorics
2. CS534	Computational_Photography
3. CS737	Computer_System_Performance_Evaluation_and_Modeling

-----100489697 Caren Batista-----
1. CS301	Introduction_to_Data_Programming
2. CS564	Database_Management_Systems:_Design_and_Implementation
3. CS640	Introduction_to_Computer_Networks
4. CS699	Directed_Study
5. CS755	VLSI_Systems_Design

-----100493286 Lorina Rosamond-----
1. CS525	Linear_Programming_Methods
2. CS731	Advanced_Artificial_Intelligence
3. CS770	Human-Computer_Interaction

-----100376535 Leanne Ackermann-----
1. CS520	Introduction_to_Theory_of_Computing
2. CS558	Introduction_to_Computational_Geometry
3. CS761	Advanced_Machine_Learning

-----101171754 Ursula Piotrowski-----
1. CS539	Introduction_to_Artificial_Neural_Networks_and_Fuzzy_Systems
2. CS545	Natural_Language_and_the_Computer
3. CS719	Stochastic_Programming
4. CS740	Advanced_Computer_Networks
5. CS837	Topics_in_Numerical_Analysis

-----100859562 Loren Jayne-----
1. CS310	Problem_Solving_using_Computers
2. CS719	Stochastic_Programming
3. CS737	Computer_System_Performance_Evaluation_and_Modeling

-----100936879 Roxann Lavender-----
1. CS369	Web_Programming
2. CS407	Foundations_of_Mobile_Systems_and_Applications
3. CS750	Real-Time_Computing_Systems
4. CS837	Topics_in_Numerical_Analysis

-----100950935 Teisha Nevius-----
1. CS369	Web_Programming
2. CS564	Database_Management_Systems:_Design_and_Implementation
3. CS740	Advanced_Computer_Networks
4. CS761	Advanced_Machine_Learning

-----101029124 Arturo Schrader-----
1. CS533	Image_Processing
2. CS699	Directed_Study
